reg
diabetes

/home/mbaddar/Documents/mbaddar/phd/genmodel/genmodel39_venv/bin/python /home/mbaddar/Documents/mbaddar/phd/genmodel/RectifiedFlow/tutorial/test_tensor_bsplines_clf_reg.py
data range = (-0.13776722569000302, 0.19878798965729408)
########## Training MLP Regressor############
Iteration 1, loss = 14880.36420344
Iteration 2, loss = 14862.43884438
Iteration 3, loss = 14844.61956469
Iteration 4, loss = 14826.88536980
Iteration 5, loss = 14809.08859972
Iteration 6, loss = 14791.29067866
Iteration 7, loss = 14773.57487125
Iteration 8, loss = 14755.75662453
Iteration 9, loss = 14738.66522750
Iteration 10, loss = 14720.88499126
Iteration 11, loss = 14702.97848722
Iteration 12, loss = 14684.64389665
Iteration 13, loss = 14665.89717806
Iteration 14, loss = 14647.42619501
Iteration 15, loss = 14628.09879506
Iteration 16, loss = 14607.90295649
Iteration 17, loss = 14586.78806746
Iteration 18, loss = 14565.04423821
Iteration 19, loss = 14541.90859285
Iteration 20, loss = 14517.61068658
Iteration 21, loss = 14491.81287647
Iteration 22, loss = 14464.35885787
Iteration 23, loss = 14436.04307645
Iteration 24, loss = 14405.66266788
Iteration 25, loss = 14373.38333276
Iteration 26, loss = 14340.00541602
Iteration 27, loss = 14303.71819828
Iteration 28, loss = 14266.89896572
Iteration 29, loss = 14227.15821909
Iteration 30, loss = 14185.72966568
Iteration 31, loss = 14142.60691736
Iteration 32, loss = 14095.78393749
Iteration 33, loss = 14047.61067103
Iteration 34, loss = 13996.99414090
Iteration 35, loss = 13943.73115101
Iteration 36, loss = 13888.05497527
Iteration 37, loss = 13829.82601233
Iteration 38, loss = 13769.05394486
Iteration 39, loss = 13704.03478935
Iteration 40, loss = 13637.60875000
Iteration 41, loss = 13568.06469121
Iteration 42, loss = 13495.51671888
Iteration 43, loss = 13417.72359827
Iteration 44, loss = 13338.59213348
Iteration 45, loss = 13257.43635376
Iteration 46, loss = 13171.05689242
Iteration 47, loss = 13082.13493455
Iteration 48, loss = 12989.41048039
Iteration 49, loss = 12894.81431845
Iteration 50, loss = 12795.73660575
Iteration 51, loss = 12690.66018970
Iteration 52, loss = 12586.14520712
Iteration 53, loss = 12476.15981312
Iteration 54, loss = 12364.21927795
Iteration 55, loss = 12244.80866490
Iteration 56, loss = 12126.18896494
Iteration 57, loss = 12002.15166926
Iteration 58, loss = 11874.98283284
Iteration 59, loss = 11745.43247158
Iteration 60, loss = 11610.86868462
Iteration 61, loss = 11471.89098247
Iteration 62, loss = 11330.49072897
Iteration 63, loss = 11183.47112298
Iteration 64, loss = 11033.55329492
Iteration 65, loss = 10882.79648420
Iteration 66, loss = 10726.23958246
Iteration 67, loss = 10565.12949409
Iteration 68, loss = 10405.67640447
Iteration 69, loss = 10235.01282566
Iteration 70, loss = 10065.07180734
Iteration 71, loss = 9895.07305987
Iteration 72, loss = 9720.10241590
Iteration 73, loss = 9548.03834170
Iteration 74, loss = 9365.46101452
Iteration 75, loss = 9181.99257539
Iteration 76, loss = 9000.84549933
Iteration 77, loss = 8812.63394612
Iteration 78, loss = 8626.50821753
Iteration 79, loss = 8437.69756966
Iteration 80, loss = 8250.17922545
Iteration 81, loss = 8059.16275950
Iteration 82, loss = 7864.66197946
Iteration 83, loss = 7674.85989359
Iteration 84, loss = 7481.47749523
Iteration 85, loss = 7290.15135248
Iteration 86, loss = 7095.56226970
Iteration 87, loss = 6907.87041308
Iteration 88, loss = 6715.20143144
Iteration 89, loss = 6520.74253538
Iteration 90, loss = 6337.99503240
Iteration 91, loss = 6147.16339120
Iteration 92, loss = 5957.89204899
Iteration 93, loss = 5776.18267966
Iteration 94, loss = 5601.24442388
Iteration 95, loss = 5417.33470811
Iteration 96, loss = 5244.02683780
Iteration 97, loss = 5071.85691096
Iteration 98, loss = 4908.01612355
Iteration 99, loss = 4740.09583367
Iteration 100, loss = 4581.52581329
Iteration 101, loss = 4425.33368100
